Car Name,Price,Kms Driven,Fuel Type,Transmission,Ownership,Manufacturer,Engine,Seats,
 hyundai figo ,47.88 crore,17217 km,Petrol,Manual,Second,Hyundai,1000cc,5,
Honda X1,36.42 thousand,98290 km,petrol,Automatic,Third,Honda,1500cc,,
Tata Innova,19.82 lakh,36950 km,Petrol,AUTOMATIC,Third,Tata,800cc,7,
 toyota innova ,27.97 lakh,83051 km,CNG,Automatic,Second,Toyota,2000cc,6,
Ford Figo,45.86 crore,43318 km,Electric,Manual,First,Ford,2000cc,4,
Honda Innova,33.14 lakh,82030 km,Electric,Automatic,First,Honda,1500cc,5,
 ford swift ,39.22 crore,34713 km,Electric,AUTOMATIC,Third,Ford,800cc,7,
Toyota Swift,41.41 lakh,41627 km,CNG,Manual,First,Toyota,800cc,5,
Ford Swift,7.61 thousand,13109 km,CNG,Automatic,First,Ford,800cc,7,
Mercedes Swift,7.27 lakh,146961 km,Diesel,Manual,Second,Mercedes,1500cc,5,
Hyundai i20,7.45 lakh,143683 km,CNG,Manual,Second,Hyundai,2000cc,4,
Honda Swift,11.13 thousand,116316 km,CNG,Automatic,First,Honda,1200cc,6,
Honda City,7.0 lakh,102619 km,Electric,Manual,First,Honda,800cc,6,
 ford city ,15.47 lakh,38778 km,petrol,Automatic,Second,Ford,800cc,6,
Ford i20,31.2 lakh,12260 km,Diesel,Manual,First,Ford,800cc,5,
Ford Swift,28.88crore,32742 km,Electric,Automatic,First,Ford,1200cc,4,
Maruti C-Class,19.01 lakh,90213 km,cng,Automatic,First,Maruti,2000cc,6,
Hyundai C-Class,16.74 thousand,50948 km,Electric,Automatic,Third,Hyundai,1000cc,4,
 honda nexon ,34.77 thousand,72325 km,Petrol,Automatic,Second,Honda,800cc,5,
Maruti Figo,48.45 thousand,114017 km,Electric,Automatic,Third,Maruti,1500cc,7,
 ford city ,49.55crore,51798 km,Petrol,Automatic,Third,Ford,2000cc,7,
Toyota C-Class,49.23 thousand,68195 km,CNG,Automatic,First,Toyota,2000cc,4,
Maruti Nexon,9.43 thousand,14036 km,CNG,Automatic,Third,Maruti,1200cc,4,
 hyundai innova ,40.75 crore,77490 km,Electric,Automatic,Third,Hyundai,2000cc,7,
 hyundai city ,49.15 lakh,35756 km,Diesel,Automatic,Second,Hyundai,1000cc,5,
Tata Innova,32.82 crore,11785 km,diesel,Manual,Second,Tata,1000cc,4,
Toyota City,22.58 thousand,139878 km,Electric,Manual,Third,Toyota,1500cc,5,
 bmw i20 ,11.9thousand,6296 km,cng,Manual,Second,BMW,1500cc,6,
 tata i20 ,7.04 thousand,139326 km,Diesel,Manual,Third,Tata,2000cc,6,
Hyundai i20,8.71 lakh,124860 km,cng,Automatic,Second,Hyundai,1500cc,6,
Toyota X1,26.06 crore,56877 km,diesel,Manual,Third,Toyota,1500cc,4,
 toyota swift ,13.08 crore,149358 km,Petrol,Automatic,First,Toyota,1500cc,5,
Mercedes X1,46.95 crore,14040 km,Petrol,Automatic,First,Mercedes,800cc,6,
BMW C-Class,13.18 crore,125688 km,Diesel,AUTOMATIC,Third,BMW,1000cc,6,
Toyota Swift,10.59 thousand,91954 km,Petrol,Manual,Third,Toyota,1200cc,5,
Mercedes Innova,14.88 crore,101203 km,Electric,Manual,First,Mercedes,800cc,6,
Maruti X1,13.04 crore,92617 km,Petrol,Automatic,Third,Maruti,800cc,6,
Mercedes i20,42.05crore,100735 km,Electric,AUTOMATIC,First,Mercedes,800cc,6,
Mercedes Swift,13.28 crore,96637 km,CNG,Manual,Third,Mercedes,1200cc,4,
Mercedes Figo,2.57 crore,22209 km,electric,Manual,Third,Mercedes,1500cc,7,
Ford C-Class,29.81 thousand,137072 km,diesel,Automatic,Third,Ford,1000cc,7,
Maruti Innova,5.11 thousand,105482 km,Electric,Manual,Third,Maruti,2000cc,5,
Hyundai Nexon,14.44 crore,34880 km,petrol,Automatic,Second,Hyundai,1000cc,4,
 maruti nexon ,45.27thousand,140492 km,Petrol,AUTOMATIC,Second,Maruti,800cc,4,
Tata City,35.49 crore,87942 km,Petrol,Automatic,First,Tata,2000cc,5,
 ford x1 ,27.0 lakh,37610 km,Electric,Manual,First,Ford,2000cc,7,
Maruti Nexon,23.74 thousand,75902 km,Petrol,Manual,Third,Maruti,1000cc,5,
 toyota x1 ,17.18lakh,71740 km,Petrol,Manual,Second,Toyota,1200cc,6,
Hyundai Swift,27.83 lakh,111707 km,CNG,Manual,Second,Hyundai,1200cc,6,
 hyundai i20 ,42.76 lakh,30115 km,petrol,Manual,First,Hyundai,1000cc,6,
 hyundai city ,23.97 crore,74164 km,Petrol,Automatic,Third,Hyundai,1200cc,6,
 honda nexon ,28.85thousand,10283 km,cng,Manual,Third,Honda,1000cc,4,
 toyota innova ,46.93 lakh,129338 km,Petrol,Manual,First,Toyota,1500cc,4,
 toyota figo ,32.09crore,31598 km,Electric,Manual,Third,Toyota,1200cc,7,
 honda i20 ,42.46 crore,144411 km,Petrol,Automatic,Third,Honda,1500cc,5,
Toyota Nexon,2.76thousand,16988 km,CNG,Automatic,Third,Toyota,800cc,7,
Toyota Swift,10.15 crore,149478 km,cng,Automatic,Second,Toyota,1500cc,5,
 mercedes nexon ,22.96 lakh,146878 km,electric,Manual,First,Mercedes,800cc,7,
Maruti Swift,46.14 lakh,118000 km,CNG,Automatic,Second,Maruti,2000cc,6,
Maruti Figo,12.44lakh,8036 km,petrol,Automatic,Second,Maruti,1200cc,7,
 honda swift ,8.14 thousand,17981 km,diesel,Automatic,Second,Honda,800cc,7,
Hyundai Nexon,42.6 thousand,133655 km,Diesel,Manual,Third,Hyundai,2000cc,7,
 honda c-class ,6.54 crore,121125 km,Electric,Automatic,First,Honda,1200cc,6,
Tata C-Class,27.74 crore,39047 km,Diesel,Automatic,First,Tata,1500cc,7,
Maruti Nexon,27.18 lakh,62866 km,CNG,Automatic,Second,Maruti,800cc,4,
Honda X1,11.47 crore,126014 km,Diesel,Manual,Third,Honda,1000cc,4,
 ford nexon ,22.99 lakh,131490 km,Diesel,AUTOMATIC,Third,Ford,2000cc,4,
Mercedes City,43.07 thousand,97391 km,Petrol,Automatic,First,Mercedes,800cc,5,
Toyota Swift,46.34 lakh,81401 km,CNG,Automatic,First,Toyota,1200cc,7,
Ford Nexon,4.69 thousand,104361 km,Diesel,Manual,Second,Ford,2000cc,6,
Toyota X1,20.15 lakh,18140 km,Petrol,Manual,Third,Toyota,2000cc,6,
Maruti City,3.77 lakh,106483 km,CNG,Automatic,Second,Maruti,1000cc,7,
BMW X1,46.93 thousand,90602 km,Petrol,Automatic,First,BMW,1500cc,5,
 mercedes x1 ,9.63 crore,130129 km,,Manual,Third,Mercedes,1500cc,7,
Honda Innova,44.75 thousand,22966 km,Diesel,MANUAL,Second,Honda,1000cc,7,
BMW Nexon,28.23 lakh,99911 km,petrol,Manual,Third,BMW,1500cc,5,
 ford i20 ,30.04 lakh,141598 km,Petrol,Manual,First,Ford,1500cc,4,
BMW Figo,36.65 lakh,124870 km,CNG,Automatic,First,BMW,1200cc,6,
 bmw x1 ,12.04 crore,8360 km,Diesel,AUTOMATIC,First,BMW,1000cc,5,
BMW i20,12.74 thousand,77489 km,Diesel,Automatic,Third,BMW,2000cc,7,
Maruti City,17.0 crore,107182 km,electric,Automatic,Third,Maruti,1500cc,4,
 honda city ,18.63 thousand,98327 km,Diesel,Automatic,Third,Honda,1200cc,5,
Mercedes i20,37.81 crore,57959 km,diesel,Manual,,Mercedes,800cc,7,
 honda figo ,31.07 crore,123123 km,diesel,Manual,Third,Honda,800cc,5,
Tata City,34.9 lakh,60776 km,Petrol,AUTOMATIC,First,Tata,1500cc,6,
Ford City,20.2 crore,72860 km,Electric,Manual,First,Ford,1000cc,5,
Ford X1,35.83 crore,28864 km,Electric,Automatic,First,Ford,1200cc,5,
Toyota X1,31.96 lakh,35906 km,CNG,Manual,Third,Toyota,800cc,7,
Hyundai C-Class,26.37 thousand,37409 km,Petrol,Automatic,First,Hyundai,2000cc,4,
Toyota Swift,42.33lakh,22581 km,Diesel,Manual,Third,Toyota,1200cc,4,
Hyundai Nexon,42.77 lakh,137815 km,Petrol,Manual,Third,Hyundai,800cc,6,
Ford Swift,27.06 thousand,35845 km,electric,Automatic,Third,Ford,1500cc,7,
Toyota C-Class,38.65 lakh,106096 km,Petrol,Manual,Third,Toyota,800cc,7,
Tata i20,11.09 crore,30751 km,CNG,Automatic,Third,Tata,800cc,6,
Toyota Figo,6.31 crore,26119 km,Diesel,Automatic,Third,Toyota,2000cc,6,
Tata i20,26.7 thousand,36420 km,diesel,Automatic,Second,Tata,1000cc,7,
BMW City,3.66 crore,138146 km,Petrol,Automatic,Third,BMW,1200cc,6,
Maruti Innova,20.18 thousand,72223 km,Petrol,Manual,Second,Maruti,800cc,4,
Toyota C-Class,46.37 thousand,114150 km,Diesel,Automatic,Third,Toyota,800cc,5,
 mercedes swift ,5.17 crore,95184 km,Petrol,Manual,Second,Mercedes,2000cc,4,
 ford i20 ,6.85lakh,129496 km,Diesel,Automatic,First,Ford,1000cc,7,
Toyota Nexon,48.3 lakh,57111 km,CNG,Manual,Third,Toyota,1000cc,5,
 maruti i20 ,25.23 thousand,64731 km,Diesel,Automatic,Second,Maruti,1000cc,6,
 tata i20 ,23.1 lakh,120642 km,CNG,Manual,First,Tata,1000cc,5,
Maruti i20,33.92 crore,143315 km,Petrol,MANUAL,First,Maruti,1200cc,6,
Ford Nexon,33.47 crore,24830 km,Electric,Automatic,First,Ford,1000cc,5,
 mercedes figo ,15.55 lakh,108815 km,Petrol,AUTOMATIC,Third,Mercedes,1000cc,4,
Toyota Figo,21.03 lakh,132961 km,diesel,Manual,Second,Toyota,800cc,6,
 maruti x1 ,33.02 crore,5594 km,CNG,MANUAL,Second,Maruti,1200cc,7,
Maruti Innova,37.75 thousand,117357 km,Petrol,AUTOMATIC,Third,Maruti,1200cc,7,
Maruti Nexon,35.89 lakh,22769 km,Diesel,AUTOMATIC,Second,Maruti,2000cc,4,
Honda Nexon,19.89 thousand,149298 km,CNG,Automatic,Second,Honda,800cc,7,
Toyota Nexon,4.21 crore,147716 km,CNG,Automatic,First,Toyota,1000cc,7,
 tata city ,8.34 lakh,137517 km,Electric,Manual,Second,Tata,1500cc,6,
Toyota C-Class,11.2 thousand,103979 km,CNG,Manual,Third,Toyota,2000cc,4,
Honda C-Class,28.55 crore,103739 km,CNG,Manual,Third,Honda,1000cc,4,
Maruti Innova,31.15 lakh,109603 km,CNG,Automatic,Third,Maruti,2000cc,7,
Honda Figo,47.02 thousand,145206 km,CNG,Manual,Third,Honda,1200cc,5,
Ford C-Class,48.88 lakh,54464 km,electric,Automatic,Third,Ford,800cc,5,
Honda C-Class,44.18 thousand,10893 km,CNG,Automatic,Second,Honda,800cc,6,
Hyundai City,44.68 lakh,21153 km,CNG,Manual,Third,Hyundai,1000cc,6,
Honda City,36.54 lakh,141841 km,CNG,Automatic,Third,Honda,800cc,6,
Honda C-Class,17.44 thousand,95579 km,CNG,Automatic,Third,Honda,1200cc,7,
Toyota Swift,39.25 crore,124445 km,diesel,Manual,First,Toyota,1200cc,7,
Tata Figo,2.71 crore,93029 km,,Automatic,Third,Tata,1000cc,7,
BMW Innova,22.61lakh,126752 km,petrol,Manual,Second,BMW,1500cc,4,
Tata Figo,47.39 lakh,95217 km,Petrol,MANUAL,First,Tata,1000cc,7,
Maruti City,36.12crore,43614 km,CNG,Manual,Second,Maruti,800cc,5,
Tata Innova,25.05 crore,7786 km,CNG,AUTOMATIC,First,Tata,1000cc,5,
Mercedes Nexon,41.61 thousand,148196 km,cng,Manual,Second,Mercedes,800cc,6,
BMW Swift,21.94 crore,53305 km,CNG,Automatic,Second,BMW,2000cc,6,
Ford Innova,6.22 crore,146184 km,Electric,MANUAL,Second,Ford,1200cc,7,
Tata Swift,46.26lakh,148453 km,Petrol,Manual,Second,Tata,1200cc,5,
Tata Swift,3.84crore,83448 km,petrol,Automatic,Third,Tata,800cc,7,
 toyota nexon ,18.65 lakh,8467 km,Electric,Automatic,Second,Toyota,800cc,4,
Maruti Innova,42.11 lakh,25110 km,electric,Manual,Third,Maruti,1500cc,4,
Honda C-Class,11.89 crore,130637 km,diesel,Automatic,First,Honda,1500cc,6,
Ford Figo,43.56 lakh,54222 km,CNG,Manual,Third,Ford,1000cc,6,
Toyota i20,6.31 crore,138595 km,Electric,Manual,Second,Toyota,1000cc,6,
 maruti x1 ,24.84 lakh,13738 km,CNG,MANUAL,Second,Maruti,2000cc,4,
 tata swift ,31.94 thousand,51080 km,CNG,AUTOMATIC,Third,Tata,800cc,7,
 maruti nexon ,12.32 thousand,142964 km,Diesel,Automatic,Third,Maruti,1200cc,7,
BMW C-Class,32.55 lakh,29787 km,Petrol,Manual,First,BMW,1000cc,7,
Toyota X1,9.8 thousand,10038 km,diesel,Automatic,First,Toyota,1500cc,5,
Hyundai Innova,6.12 thousand,69352 km,Electric,Automatic,Second,Hyundai,1000cc,6,
Hyundai i20,6.08 crore,95989 km,Diesel,Automatic,Third,Hyundai,1500cc,7,
Hyundai Figo,27.82 lakh,49880 km,Petrol,Automatic,Third,Hyundai,1500cc,7,
Ford X1,44.98 lakh,35257 km,Petrol,Automatic,Second,Ford,1000cc,5,
 ford innova ,46.59 thousand,16301 km,CNG,Automatic,First,Ford,1200cc,4,
BMW X1,33.56 thousand,73324 km,Petrol,Automatic,First,BMW,1000cc,5,
Ford C-Class,19.52lakh,130400 km,Petrol,Automatic,Second,Ford,800cc,5,
Maruti Nexon,40.76 lakh,30727 km,Petrol,Manual,Third,Maruti,2000cc,5,
Ford X1,38.36 lakh,33640 km,Electric,Manual,Third,Ford,1200cc,6,
 bmw figo ,25.73 crore,130731 km,Electric,Automatic,Third,BMW,2000cc,7,
Hyundai Nexon,21.1 thousand,136522 km,electric,Automatic,Second,Hyundai,1500cc,4,
Maruti C-Class,22.17 lakh,54812 km,Electric,Manual,Third,Maruti,2000cc,6,
Honda Swift,8.92 lakh,29974 km,Diesel,Manual,Third,Honda,1500cc,5,
 ford innova ,19.05 crore,134345 km,CNG,MANUAL,Third,Ford,2000cc,5,
Toyota Figo,42.31 crore,8052 km,CNG,Automatic,Second,Toyota,2000cc,6,
 honda swift ,39.33 crore,55035 km,Diesel,Manual,Third,Honda,800cc,6,
 toyota figo ,22.97 thousand,29890 km,Petrol,Automatic,Third,Toyota,2000cc,4,
Hyundai C-Class,42.5 lakh,103384 km,Petrol,Automatic,First,Hyundai,1000cc,7,
Ford Nexon,20.62 thousand,135308 km,Diesel,AUTOMATIC,First,Ford,2000cc,7,
 ford i20 ,32.0 lakh,47148 km,Petrol,Automatic,Second,Ford,2000cc,6,
Tata i20,13.57crore,123721 km,CNG,Manual,Third,Tata,1200cc,5,
Hyundai i20,26.12 thousand,85926 km,Diesel,Automatic,Second,Hyundai,1000cc,4,
Ford City,25.32 lakh,74902 km,Petrol,Manual,Second,Ford,1500cc,7,
Honda Swift,17.43 crore,100999 km,Petrol,Automatic,Second,Honda,1200cc,4,
BMW X1,45.06 crore,22052 km,CNG,Automatic,Second,BMW,1500cc,6,
 mercedes figo ,46.58 lakh,142830 km,Diesel,Manual,Third,Mercedes,1200cc,4,
 honda i20 ,4.17 lakh,63524 km,CNG,AUTOMATIC,Third,Honda,2000cc,4,
Hyundai Figo,16.0crore,125114 km,Petrol,Automatic,Second,Hyundai,2000cc,5,
Maruti i20,48.85 crore,109806 km,Petrol,Automatic,Third,Maruti,1000cc,4,
 tata city ,16.09 lakh,119538 km,Petrol,MANUAL,First,Tata,1500cc,6,
Mercedes C-Class,12.99 lakh,98261 km,petrol,Automatic,Third,Mercedes,800cc,4,
Toyota Innova,9.4 lakh,140936 km,Petrol,Manual,Second,Toyota,1200cc,4,
Tata Swift,46.27 crore,56815 km,Diesel,MANUAL,First,Tata,2000cc,4,
Tata i20,12.76 crore,101081 km,Electric,Manual,Second,Tata,1200cc,4,
Hyundai Innova,25.25lakh,25122 km,Electric,Manual,Third,Hyundai,2000cc,6,
 maruti figo ,17.26 lakh,111226 km,CNG,Manual,Third,Maruti,800cc,7,
 maruti innova ,47.44 lakh,7033 km,Diesel,Manual,Second,Maruti,800cc,4,
Mercedes i20,46.66 lakh,133304 km,Petrol,Manual,Third,Mercedes,1500cc,5,
 mercedes nexon ,30.03 crore,26177 km,Diesel,Manual,Second,Mercedes,2000cc,7,
Mercedes i20,4.15 lakh,15930 km,Electric,Manual,Second,Mercedes,1000cc,4,
BMW i20,35.14thousand,116757 km,Electric,Manual,First,BMW,1000cc,4,
BMW City,34.74crore,38700 km,Electric,Automatic,Second,BMW,1500cc,5,
BMW Nexon,17.76 crore,62220 km,Electric,Manual,First,BMW,800cc,4,
Hyundai Innova,,125971 km,petrol,Automatic,Second,Hyundai,2000cc,5,
Hyundai Swift,26.64 thousand,118010 km,Diesel,MANUAL,First,Hyundai,1200cc,5,
Maruti Innova,6.72 thousand,70821 km,Diesel,Manual,Third,Maruti,1200cc,7,
 toyota figo ,10.23 thousand,65091 km,CNG,Manual,Third,Toyota,800cc,6,
Toyota City,38.97 crore,130993 km,CNG,Manual,First,Toyota,800cc,6,
 hyundai innova ,30.74 thousand,142624 km,CNG,Automatic,Third,Hyundai,800cc,7,
Maruti Innova,6.79 crore,141094 km,electric,MANUAL,Third,Maruti,800cc,4,
 toyota figo ,17.19 thousand,15267 km,Petrol,Manual,Second,Toyota,1200cc,4,
Honda Figo,30.98 thousand,82151 km,Petrol,Automatic,Second,Honda,2000cc,7,
Mercedes C-Class,49.34 crore,32306 km,Petrol,Automatic,Third,Mercedes,1000cc,4,
 tata i20 ,33.46 lakh,139854 km,petrol,Automatic,Second,Tata,1200cc,4,
,4.65lakh,41682 km,Diesel,Manual,First,BMW,1500cc,4,
Ford Innova,26.46 lakh,142799 km,Diesel,Automatic,First,Ford,1500cc,7,
Tata Innova,42.44 lakh,34609 km,CNG,Automatic,Third,Tata,1500cc,7,
Mercedes X1,9.35 lakh,75661 km,petrol,Manual,Third,Mercedes,1500cc,4,
Honda Innova,13.41 thousand,120418 km,Petrol,Automatic,Third,Honda,800cc,4,
Mercedes C-Class,23.61 crore,51589 km,Electric,Manual,First,Mercedes,800cc,4,
BMW Nexon,28.64 crore,137517 km,Diesel,Automatic,Second,BMW,800cc,4,
Mercedes X1,24.12 thousand,57116 km,Electric,Automatic,Third,Mercedes,1500cc,7,
Maruti X1,48.0 lakh,48960 km,Petrol,Manual,First,Maruti,1000cc,7,
Honda Figo,2.17 lakh,129111 km,Petrol,Automatic,First,Honda,800cc,5,
Toyota X1,2.46 lakh,29863 km,Diesel,Manual,First,Toyota,800cc,7,
Honda X1,39.13 crore,76753 km,Electric,Automatic,Third,Honda,1000cc,6,
Toyota Innova,8.71 thousand,99906 km,Petrol,Manual,Third,Toyota,1200cc,7,
Honda City,23.57 thousand,86035 km,Petrol,Manual,Second,Honda,2000cc,5,
Hyundai X1,41.86crore,127478 km,Diesel,Manual,Third,Hyundai,2000cc,7,
 ford i20 ,41.76 thousand,57881 km,electric,Automatic,Second,Ford,800cc,5,
Tata C-Class,18.1 lakh,100853 km,CNG,Manual,First,Tata,,7,
 bmw city ,49.05 crore,112867 km,Electric,AUTOMATIC,First,BMW,1500cc,4,
Tata i20,12.58 crore,63691 km,Petrol,MANUAL,First,Tata,1500cc,7,
 honda i20 ,4.74 lakh,58224 km,Diesel,Manual,Third,Honda,1200cc,6,
 tata swift ,6.99 lakh,109231 km,Electric,Manual,Third,Tata,2000cc,4,
 bmw innova ,15.08 thousand,8546 km,Electric,Manual,Third,BMW,1500cc,5,
Honda Figo,28.97 lakh,33916 km,Electric,Automatic,Third,Honda,1500cc,7,
 mercedes c-class ,30.02 lakh,92708 km,Diesel,Manual,Second,Mercedes,1500cc,5,
 maruti city ,14.64 crore,62024 km,Petrol,Manual,Second,Maruti,1500cc,7,
Hyundai i20,15.9 crore,26154 km,Diesel,Manual,Second,Hyundai,2000cc,5,
Tata Swift,13.62 lakh,41997 km,Electric,,Second,Tata,1500cc,7,
 honda i20 ,23.45 lakh,100599 km,CNG,Manual,Third,Honda,1200cc,7,
Mercedes City,11.34 crore,144116 km,Electric,Manual,Third,Mercedes,800cc,7,
Toyota X1,34.35 crore,140617 km,Diesel,Manual,Third,Toyota,1200cc,4,
 ford c-class ,16.6 thousand,113717 km,electric,Automatic,Second,Ford,800cc,7,
Mercedes City,49.55 thousand,38288 km,diesel,Automatic,Third,Mercedes,1000cc,4,
BMW Innova,16.35 crore,58696 km,Diesel,Automatic,Second,BMW,800cc,7,
BMW Innova,40.32 thousand,82459 km,CNG,AUTOMATIC,Third,BMW,1200cc,4,
Mercedes Nexon,16.79 lakh,66651 km,petrol,Automatic,First,Mercedes,1000cc,6,
 mercedes swift ,4.35lakh,34245 km,Electric,MANUAL,Third,Mercedes,1500cc,5,
Mercedes Nexon,49.95 thousand,139069 km,electric,Automatic,Second,Mercedes,1000cc,5,
 toyota city ,24.05 crore,137274 km,Electric,MANUAL,First,Toyota,1000cc,7,
Ford Swift,43.1 lakh,113966 km,petrol,Manual,Third,Ford,1000cc,4,
Hyundai Nexon,34.14 thousand,135938 km,Diesel,Manual,Third,Hyundai,2000cc,4,
Tata Nexon,26.98 crore,90837 km,CNG,Manual,Second,Tata,800cc,5,
Hyundai Nexon,16.14 crore,64452 km,Diesel,Manual,Third,,800cc,7,
Hyundai Nexon,33.58 lakh,68669 km,CNG,Automatic,Second,Hyundai,1500cc,7,
Honda Nexon,49.95 lakh,141383 km,Electric,Automatic,Second,Honda,2000cc,6,
Toyota C-Class,22.1 crore,96522 km,Electric,Manual,Third,Toyota,2000cc,5,
Maruti X1,37.66 thousand,116034 km,Petrol,Manual,First,Maruti,800cc,5,
Tata Innova,21.94 crore,135786 km,cng,Manual,First,Tata,800cc,5,
 bmw x1 ,27.48 thousand,20389 km,Electric,Automatic,First,BMW,2000cc,6,
Mercedes Nexon,15.5 crore,52252 km,Electric,Automatic,First,Mercedes,1200cc,4,
 hyundai swift ,6.08 thousand,120356 km,Electric,Manual,First,Hyundai,1500cc,4,
Mercedes City,10.23 thousand,60577 km,Petrol,MANUAL,Second,Mercedes,1500cc,6,
 toyota city ,46.79 lakh,18255 km,Diesel,Automatic,First,Toyota,800cc,7,
Mercedes Figo,43.4 thousand,70424 km,CNG,Manual,Second,Mercedes,800cc,5,
Tata X1,35.37 thousand,139047 km,diesel,Automatic,Third,Tata,1000cc,7,
 mercedes nexon ,10.97 crore,63175 km,cng,Automatic,Third,Mercedes,1500cc,5,
Mercedes i20,3.46 crore,25746 km,Diesel,Manual,Third,Mercedes,2000cc,6,
 tata nexon ,25.05 crore,89154 km,Petrol,Automatic,Third,Tata,1200cc,7,
BMW Nexon,15.35 lakh,108134 km,Petrol,Automatic,First,BMW,800cc,4,
Hyundai X1,35.41 crore,125930 km,CNG,Automatic,Second,Hyundai,1500cc,5,
Honda Swift,40.35 lakh,67447 km,Diesel,Manual,First,Honda,2000cc,7,
 toyota i20 ,21.35 thousand,38935 km,CNG,Automatic,Third,Toyota,1500cc,5,
 hyundai figo ,32.32lakh,91727 km,petrol,Manual,Third,Hyundai,1000cc,7,
 tata figo ,33.72 lakh,129649 km,Electric,Automatic,Third,Tata,1000cc,5,
 maruti figo ,39.32 thousand,79542 km,Diesel,Automatic,Second,Maruti,2000cc,4,
Ford C-Class,31.69 thousand,135176 km,Electric,Manual,Third,Ford,1200cc,4,
Honda Innova,29.11 lakh,94341 km,CNG,Automatic,Second,Honda,1000cc,7,
 honda figo ,45.31 thousand,107016 km,Petrol,AUTOMATIC,Second,Honda,1200cc,4,
 ford nexon ,3.49 crore,28199 km,electric,Automatic,Third,Ford,2000cc,5,
Tata i20,25.63 lakh,134122 km,Diesel,Manual,First,Tata,1500cc,6,
 tata i20 ,2.13thousand,102016 km,diesel,Manual,Third,Tata,800cc,6,
Honda Figo,23.66 thousand,137033 km,Diesel,Manual,Third,Honda,2000cc,7,
,33.91 crore,147879 km,cng,MANUAL,First,BMW,1200cc,7,
BMW X1,8.49thousand,84690 km,Diesel,Automatic,Third,BMW,1200cc,7,
Tata Innova,13.0 crore,129825 km,Electric,Manual,Third,Tata,1200cc,6,
Tata Innova,15.1 lakh,108491 km,CNG,Manual,First,Tata,1200cc,7,
BMW i20,4.37 lakh,40733 km,petrol,Manual,First,BMW,1200cc,5,
Hyundai Nexon,42.67lakh,24122 km,Diesel,Manual,Second,Hyundai,1000cc,4,
 bmw city ,6.73 lakh,93671 km,Diesel,Automatic,First,BMW,1200cc,6,
Maruti Swift,21.07 thousand,8281 km,Petrol,Manual,First,Maruti,800cc,7,
Honda X1,19.67 thousand,42293 km,CNG,Automatic,Second,Honda,1000cc,4,
Mercedes Innova,24.77 lakh,94786 km,Diesel,Manual,Second,Mercedes,800cc,6,
Toyota i20,42.81 lakh,118774 km,Electric,Manual,Third,Toyota,1200cc,7,
Tata Nexon,28.1 crore,62915 km,petrol,Automatic,Third,Tata,800cc,4,
Tata i20,26.77 crore,46024 km,Electric,Manual,Third,Tata,1000cc,5,
Hyundai Innova,15.51 thousand,101873 km,Petrol,AUTOMATIC,Third,Hyundai,2000cc,7,
Mercedes X1,21.8 crore,52511 km,CNG,Automatic,Second,Mercedes,1000cc,5,
Tata i20,10.09lakh,71448 km,CNG,Automatic,Second,Tata,1500cc,5,
Hyundai Nexon,28.57 lakh,25302 km,CNG,Manual,Second,Hyundai,1500cc,5,
Mercedes Figo,47.82 lakh,125820 km,electric,Automatic,First,Mercedes,1500cc,5,
 ford x1 ,40.65 lakh,38472 km,Diesel,Manual,Third,Ford,2000cc,6,
 maruti innova ,31.41 lakh,25115 km,Petrol,MANUAL,First,Maruti,1200cc,4,
BMW Innova,21.81 crore,63810 km,Diesel,Automatic,Second,BMW,1200cc,7,
Toyota Swift,38.5 lakh,9882 km,Diesel,Automatic,First,Toyota,1200cc,6,
Ford X1,9.06 crore,94869 km,Petrol,Automatic,Second,Ford,1000cc,7,
Mercedes C-Class,38.52 crore,66915 km,,Automatic,Second,Mercedes,800cc,7,
BMW i20,24.83 lakh,39499 km,Petrol,Manual,Third,BMW,2000cc,6,
 mercedes city ,16.11 crore,92249 km,Electric,Automatic,Second,Mercedes,1200cc,6,
Mercedes X1,14.38 thousand,69281 km,Electric,,Third,Mercedes,800cc,6,
 mercedes innova ,24.26 lakh,94450 km,Petrol,Automatic,Second,Mercedes,800cc,7,
 honda x1 ,35.42 lakh,78519 km,Electric,Automatic,Second,Honda,800cc,6,
 tata figo ,39.53 lakh,73679 km,CNG,Automatic,Third,Tata,1200cc,7,
Maruti i20,8.52 thousand,16787 km,diesel,Manual,Third,Maruti,1200cc,7,
BMW Nexon,10.25 lakh,22947 km,Petrol,Manual,Third,BMW,1200cc,4,
 maruti nexon ,49.14 thousand,92563 km,cng,Manual,Second,,1500cc,4,
Toyota C-Class,17.67 thousand,59457 km,cng,Manual,Second,Toyota,2000cc,4,
Ford Nexon,9.19 lakh,87569 km,Diesel,AUTOMATIC,First,Ford,2000cc,4,
Ford City,5.2 lakh,149157 km,Electric,AUTOMATIC,Third,Ford,1500cc,5,
 mercedes x1 ,6.46crore,117361 km,Petrol,Automatic,Second,Mercedes,1000cc,4,
 honda nexon ,39.05 crore,60119 km,Electric,Manual,Second,Honda,2000cc,4,
Maruti City,33.63thousand,124905 km,Petrol,Manual,Second,Maruti,1200cc,4,
 toyota city ,22.86 lakh,139520 km,Petrol,Automatic,Second,Toyota,1200cc,4,
Toyota X1,37.74 thousand,109033 km,Electric,Manual,Third,Toyota,1000cc,5,
 tata x1 ,39.66 lakh,23113 km,Diesel,Manual,Second,Tata,1200cc,4,
Mercedes C-Class,29.08 lakh,42482 km,Petrol,Manual,First,Mercedes,2000cc,,
